Description,"Abundance Ratio: (Control, TatCN) / (Control, None)","Abundance Ratio: (Control, TatCN) / (Control, Vehicle)","Abundance Ratio: (EtOH, Vehicle) / (Control, Vehicle)","Abundance Ratio: (EtOH, TatCN) / (EtOH, None)","Abundance Ratio: (EtOH, Vehicle) / (EtOH, None)","Abundance Ratio: (EtOH, TatCN) / (EtOH, Vehicle)"
"Creatine kinase U-type, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ckmt1 PE=1 SV=1",0.487,0.806,0.928,0.78,0.852,0.677
Glutamine synthetase OS=Rattus norvegicus OX=10116 GN=Glul PE=1 SV=3,0.475,0.685,0.768,0.982,1.026,0.91
Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Rattus norvegicus OX=10116 GN=Hnrnpa2b1 PE=1 SV=1,0.414,0.56,0.676,0.864,0.836,0.946
Ras-related protein Rab-1A OS=Rattus norvegicus OX=10116 GN=Rab1A PE=1 SV=3,0.348,0.539,0.586,0.726,0.635,1.042
Endoplasmic reticulum chaperone BiP OS=Rattus norvegicus OX=10116 GN=Hspa5 PE=1 SV=1,0.737,0.771,0.863,0.985,0.912,0.938
Transitional endoplasmic reticulum ATPase OS=Rattus norvegicus OX=10116 GN=Vcp PE=1 SV=3,0.626,0.842,0.895,1.007,1.024,0.856
Hexokinase-1 OS=Rattus norvegicus OX=10116 GN=Hk1 PE=1 SV=4,0.367,0.686,0.778,0.733,0.919,0.772
Myotrophin OS=Rattus norvegicus OX=10116 GN=Mtpn PE=1 SV=2,0.623,0.71,1.116,0.769,1.511,0.964
Visinin-like protein 1 OS=Rattus norvegicus OX=10116 GN=Vsnl1 PE=1 SV=2,0.426,0.887,0.753,0.558,0.656,0.794
Junction plakoglobin OS=Rattus norvegicus OX=10116 GN=Jup PE=1 SV=1,1.068,1.722,0.359,0.554,0.294,2.705
Endophilin-A1 OS=Rattus norvegicus OX=10116 GN=Sh3gl2 PE=1 SV=2,0.261,0.464,0.561,0.391,0.657,0.539
Calmodulin regulator protein PCP4 OS=Rattus norvegicus OX=10116 GN=Pcp4 PE=1 SV=2,0.531,0.607,1.548,0.43,1.111,0.3
Ubiquitin-conjugating enzyme E2 N OS=Rattus norvegicus OX=10116 GN=Ube2n PE=1 SV=1,0.55,0.819,0.94,0.643,0.989,0.696
Sodium/potassium-transporting ATPase subunit alpha-1 OS=Rattus norvegicus OX=10116 GN=Atp1a1 PE=1 SV=1,0.352,0.734,0.626,0.42,0.621,0.733
Sodium/potassium-transporting ATPase subunit alpha-2 OS=Rattus norvegicus OX=10116 GN=Atp1a2 PE=1 SV=1,0.435,0.718,0.88,0.487,0.757,0.717
"Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Rattus norvegicus OX=10116 GN=Uqcrfs1 PE=1 SV=2",0.677,0.674,0.796,0.652,0.91,0.692
Glutathione S-transferase alpha-3 OS=Rattus norvegicus OX=10116 GN=Gsta3 PE=1 SV=3,0.483,0.391,0.165,4.551,1,7.267
"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Rattus norvegicus OX=10116 GN=Cnp PE=1 SV=2",1.228,0.687,0.821,0.541,0.784,0.803
Apolipoprotein E OS=Rattus norvegicus OX=10116 GN=Apoe PE=1 SV=2,1.005,0.799,1.099,2.051,1.882,0.956
Cystatin-B OS=Rattus norvegicus OX=10116 GN=Cstb PE=1 SV=1,0.61,0.83,0.779,0.937,0.827,0.91
Glial fibrillary acidic protein OS=Rattus norvegicus OX=10116 GN=Gfap PE=1 SV=2,1.816,0.541,0.579,1.718,2.48,1.076
Actin-related protein 2 OS=Rattus norvegicus OX=10116 GN=Actr2 PE=2 SV=1,0.388,0.413,1.179,1.083,2.995,0.497
Dihydropyrimidinase-related protein 5 OS=Rattus norvegicus OX=10116 GN=Dpysl5 PE=1 SV=1,0.582,0.782,0.966,1.074,1.438,0.736
"Superoxide dismutase [Mn], mitochondrial OS=Rattus norvegicus OX=10116 GN=Sod2 PE=1 SV=2",0.375,0.527,0.741,0.651,0.778,0.852
Large ribosomal subunit protein P2 OS=Rattus norvegicus OX=10116 GN=Rplp2 PE=1 SV=2,0.565,0.604,0.954,0.783,1.061,0.737
Heat shock protein HSP 90-alpha OS=Rattus norvegicus OX=10116 GN=Hsp90aa1 PE=1 SV=3,0.386,0.683,0.601,0.708,0.976,0.831
"ATP synthase F(0) complex subunit B1, mitochondrial OS=Rattus norvegicus OX=10116 GN=Atp5pb PE=1 SV=1",0.479,0.926,0.839,0.69,0.917,0.768
Protein S100-B OS=Rattus norvegicus OX=10116 GN=S100b PE=1 SV=2,0.313,0.979,1.348,0.315,0.782,0.403
Synapsin-2 OS=Rattus norvegicus OX=10116 GN=Syn2 PE=1 SV=1,0.444,0.637,0.705,0.702,1.024,0.697
Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Rattus norvegicus OX=10116 GN=Camk2b PE=1 SV=1,0.41,0.601,0.876,0.575,1.6,0.446
Ig gamma-2B chain C region OS=Rattus norvegicus OX=10116 GN=Igh-1a PE=1 SV=1,7.916,1.211,1.247,11.432,13.386,0.81
Alpha-endosulfine OS=Rattus norvegicus OX=10116 GN=Ensa PE=1 SV=1,0.448,0.561,0.866,0.864,1.158,0.71
Carbonic anhydrase 2 OS=Rattus norvegicus OX=10116 GN=Ca2 PE=1 SV=2,1.641,1.199,0.821,1.093,0.854,1.112
Clathrin heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Cltc PE=1 SV=3,0.265,0.531,0.596,0.548,0.893,0.602
