Description,"Abundance Ratio: (Control, TatCN) / (Control, None)","Abundance Ratio: (Control, TatCN) / (Control, Vehicle)","Abundance Ratio: (EtOH, Vehicle) / (Control, Vehicle)","Abundance Ratio: (EtOH, TatCN) / (EtOH, None)","Abundance Ratio: (EtOH, Vehicle) / (EtOH, None)","Abundance Ratio: (EtOH, TatCN) / (EtOH, Vehicle)"
Proline-rich transmembrane protein 2 OS=Rattus norvegicus OX=10116 GN=Prrt2 PE=1 SV=1,0.656,0.51,0.819,0.61,1.169,0.701
C-terminal-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Ctbp1 PE=1 SV=3,0.71,0.751,0.838,0.826,1.28,0.785
Heat shock 70 kDa protein 1-like OS=Rattus norvegicus OX=10116 GN=Hspa1l PE=2 SV=2,,,,,,
AP-2 complex subunit sigma OS=Rattus norvegicus OX=10116 GN=Ap2s1 PE=1 SV=1,0.295,0.54,0.648,1,4.977,0.075
Adenylyl cyclase-associated protein 2 OS=Rattus norvegicus OX=10116 GN=Cap2 PE=1 SV=1,0.503,1.252,0.01,0.614,0.01,100
Mitochondrial proton/calcium exchanger protein OS=Rattus norvegicus OX=10116 GN=Letm1 PE=1 SV=1,0.564,7.044,1,5.743,1,8.918
Phytanoyl-CoA hydroxylase-interacting protein-like OS=Rattus norvegicus OX=10116 GN=Phyhipl PE=1 SV=2,1,1,0.01,0.01,0.01,
Large ribosomal subunit protein uL11 OS=Rattus norvegicus OX=10116 GN=Rpl12 PE=2 SV=1,0.789,0.813,0.59,0.939,0.898,1.046
Protein phosphatase 1 regulatory subunit 7 OS=Rattus norvegicus OX=10116 GN=Ppp1r7 PE=1 SV=1,10.266,100,1,12.439,1,8.417
Proteasome subunit beta type-4 OS=Rattus norvegicus OX=10116 GN=Psmb4 PE=1 SV=2,0.826,0.615,0.01,0.05,0.01,1
Synaptogyrin-1 OS=Rattus norvegicus OX=10116 GN=Syngr1 PE=1 SV=1,0.376,0.594,0.484,0.474,0.576,0.824
Heterogeneous nuclear ribonucleoprotein C OS=Rattus norvegicus OX=10116 GN=Hnrnpc PE=1 SV=2,0.488,0.322,0.613,0.668,0.944,0.836
Jupiter microtubule associated homolog 1 OS=Rattus norvegicus OX=10116 GN=Jpt1 PE=1 SV=3,7.329,0.273,0.08,0.068,0.119,1
Thioredoxin-like protein 1 OS=Rattus norvegicus OX=10116 GN=Txnl1 PE=1 SV=3,0.345,0.427,0.101,6.587,1,9.85
Protein disulfide-isomerase OS=Rattus norvegicus OX=10116 GN=P4hb PE=1 SV=2,0.883,0.652,0.471,0.824,0.916,0.95
"Cytochrome c oxidase subunit 7B, mitochondrial OS=Rattus norvegicus OX=10116 GN=Cox7b PE=1 SV=3",0.635,0.486,0.917,0.524,0.672,0.871
Casein kinase II subunit alpha OS=Rattus norvegicus OX=10116 GN=Csnk2a1 PE=1 SV=2,0.01,,,,,
AP-1 complex subunit beta-1 OS=Rattus norvegicus OX=10116 GN=Ap1b1 PE=1 SV=1,0.01,0.01,1,1,1,1.103
Ferritin heavy chain OS=Rattus norvegicus OX=10116 GN=Fth1 PE=1 SV=3,0.858,0.873,1.22,1.054,1.108,1.038
"Glycogen phosphorylase, liver form OS=Rattus norvegicus OX=10116 GN=Pygl PE=1 SV=5",0.01,0.01,1,0.302,1,1
Ribose-phosphate pyrophosphokinase 1 OS=Rattus norvegicus OX=10116 GN=Prps1 PE=1 SV=2,0.402,6.809,100,4.657,14.711,1.616
Polyadenylate-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Pabpc1 PE=1 SV=1,0.296,0.816,0.864,0.495,0.862,0.527
"Solute carrier family 2, facilitated glucose transporter member 3 OS=Rattus norvegicus OX=10116 GN=Slc2a3 PE=1 SV=1",0.364,0.679,0.13,0.229,0.15,7.715
Annexin A2 OS=Rattus norvegicus OX=10116 GN=Anxa2 PE=1 SV=2,1.345,1.478,0.664,1.033,0.44,1.322
UMP-CMP kinase OS=Rattus norvegicus OX=10116 GN=Cmpk1 PE=1 SV=2,0.292,1.135,0.01,0.49,1,1
Neutral cholesterol ester hydrolase 1 OS=Rattus norvegicus OX=10116 GN=Nceh1 PE=1 SV=1,0.01,0.01,1,0.01,1,0.01
"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Hibadh PE=1 SV=3",0.01,0.01,1,0.398,1,1
"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Rattus norvegicus OX=10116 GN=Aldh6a1 PE=1 SV=1",0.24,100,1,1,1,0.573
4-trimethylaminobutyraldehyde dehydrogenase OS=Rattus norvegicus OX=10116 GN=Aldh9a1 PE=1 SV=1,0.972,1.022,0.282,0.085,0.341,0.01
Alpha-internexin OS=Rattus norvegicus OX=10116 GN=Ina PE=1 SV=2,1.267,0.833,0.01,0.376,0.01,100
Septin-8 OS=Rattus norvegicus OX=10116 GN=Septin8 PE=1 SV=1,0.586,0.633,0.152,0.01,1,0.01
Protein kinase C gamma type OS=Rattus norvegicus OX=10116 GN=Prkcg PE=1 SV=1,0.47,0.768,0.855,4.701,9.387,0.826
Bifunctional purine biosynthesis protein ATIC OS=Rattus norvegicus OX=10116 GN=Atic PE=1 SV=2,0.01,0.01,1,0.264,1,1
Plasma membrane calcium-transporting ATPase 3 OS=Rattus norvegicus OX=10116 GN=Atp2b3 PE=1 SV=2,,,,,,
Myelin-associated glycoprotein OS=Rattus norvegicus OX=10116 GN=Mag PE=1 SV=1,9.797,0.559,0.721,0.397,0.574,0.534
Cathepsin D OS=Rattus norvegicus OX=10116 GN=Ctsd PE=1 SV=1,0.651,0.951,0.923,8.086,4.251,1.377
Protein tweety homolog 1 OS=Rattus norvegicus OX=10116 GN=Ttyh1 PE=1 SV=1,0.01,0.01,0.01,0.01,0.01,
Serine protease inhibitor A3N OS=Rattus norvegicus OX=10116 GN=Serpina3n PE=1 SV=3,12.278,18.794,17.777,100,100,0.744
NADH-cytochrome b5 reductase 3 OS=Rattus norvegicus OX=10116 GN=Cyb5r3 PE=1 SV=2,0.28,6.341,1,1,1,0.695
Arginase-1 OS=Rattus norvegicus OX=10116 GN=Arg1 PE=1 SV=2,9.388,0.722,0.01,0.191,0.01,100
Large ribosomal subunit protein eL37 OS=Rattus norvegicus OX=10116 GN=Rpl37 PE=1 SV=2,,,100,,100,0.01
Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Rattus norvegicus OX=10116 GN=Nherf1 PE=1 SV=3,2.149,7.619,1,0.637,0.161,7.323
Annexin A1 OS=Rattus norvegicus OX=10116 GN=Anxa1 PE=1 SV=2,3.027,2.048,0.139,2.458,0.106,8.892
Actin-related protein 2/3 complex subunit 1A OS=Rattus norvegicus OX=10116 GN=Arpc1a PE=2 SV=1,0.419,0.549,0.645,0.453,0.882,0.54
Cathepsin B OS=Rattus norvegicus OX=10116 GN=Ctsb PE=1 SV=2,0.999,9.111,0.01,0.317,0.01,100
Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Rattus norvegicus OX=10116 GN=Ppp1ca PE=1 SV=1,5.762,8.627,9.479,0.06,1.063,0.072
Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Rattus norvegicus OX=10116 GN=Cacna2d1 PE=1 SV=1,0.457,1.135,1.69,0.664,0.944,0.828
Large ribosomal subunit protein eL6 OS=Rattus norvegicus OX=10116 GN=Rpl6 PE=1 SV=5,0.127,1,8.434,0.909,1.521,0.61
Glutathione S-transferase alpha-4 OS=Rattus norvegicus OX=10116 GN=Gsta4 PE=1 SV=2,0.157,1,1,0.47,1,1
Protein S100-A6 OS=Rattus norvegicus OX=10116 GN=S100a6 PE=1 SV=3,1.666,0.83,1.222,1.836,2.26,0.812
Myelin-oligodendrocyte glycoprotein OS=Rattus norvegicus OX=10116 GN=Mog PE=1 SV=1,0.54,0.551,1.164,0.538,0.852,0.55
Small ribosomal subunit protein uS19 OS=Rattus norvegicus OX=10116 GN=Rps15 PE=1 SV=2,0.046,0.061,1.374,0.099,1.756,0.066
6-phosphogluconolactonase OS=Rattus norvegicus OX=10116 GN=Pgls PE=1 SV=1,0.01,0.01,1,0.641,1,1
"Ornithine aminotransferase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Oat PE=1 SV=1",0.226,0.454,1,0.255,1,1
Endoplasmin OS=Rattus norvegicus OX=10116 GN=Hsp90b1 PE=1 SV=2,0.066,1,1,0.254,0.101,8.141
Drebrin-like protein OS=Rattus norvegicus OX=10116 GN=Dbnl PE=1 SV=1,5.721,0.4,0.067,0.067,0.074,1
C-reactive protein OS=Rattus norvegicus OX=10116 GN=Crp PE=1 SV=1,3.36,1.116,1.377,22.615,13.055,1.497
Neuronal-specific septin-3 OS=Rattus norvegicus OX=10116 GN=Septin3 PE=1 SV=2,0.286,0.526,0.175,0.407,1,1
"Elongation factor Tu, mitochondrial OS=Rattus norvegicus OX=10116 GN=Tufm PE=1 SV=1",0.471,0.433,0.849,1.012,1.666,0.607
Sodium/potassium-transporting ATPase subunit beta-2 OS=Rattus norvegicus OX=10116 GN=Atp1b2 PE=1 SV=1,0.67,0.785,1.027,0.441,0.652,0.569
Large ribosomal subunit protein uL10 OS=Rattus norvegicus OX=10116 GN=Rplp0 PE=1 SV=2,5.09,0.632,0.826,1.406,1.697,0.829
Cell adhesion molecule 4 OS=Rattus norvegicus OX=10116 GN=Cadm4 PE=1 SV=1,0.688,0.659,0.16,0.512,0.115,7.61
Clusterin OS=Rattus norvegicus OX=10116 GN=Clu PE=1 SV=2,0.426,0.619,0.671,0.61,1.136,0.251
Protein CDV3 homolog OS=Rattus norvegicus OX=10116 GN=Cdv3 PE=1 SV=1,0.84,0.586,0.932,0.961,1.234,0.846
CD81 antigen OS=Rattus norvegicus OX=10116 GN=Cd81 PE=1 SV=1,,,,,,
Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Rattus norvegicus OX=10116 GN=Atp2a2 PE=1 SV=1,0.432,0.796,0.128,0.068,0.16,1
Enolase-phosphatase E1 OS=Rattus norvegicus OX=10116 GN=Enoph1 PE=2 SV=1,0.01,,,0.01,0.01,
Protein disulfide-isomerase A6 OS=Rattus norvegicus OX=10116 GN=Pdia6 PE=1 SV=2,0.072,0.059,0.095,0.304,1,1
Catenin beta-1 OS=Rattus norvegicus OX=10116 GN=Ctnnb1 PE=1 SV=1,1.039,0.692,1.501,1.205,1.868,0.645
Proteasome subunit alpha type-5 OS=Rattus norvegicus OX=10116 GN=Psma5 PE=1 SV=1,0.524,0.498,0.149,5.055,1,6.957
S-adenosylhomocysteine hydrolase-like protein 1 OS=Rattus norvegicus OX=10116 GN=Ahcyl1 PE=1 SV=2,0.689,1.077,0.941,0.795,0.913,0.45
Leucine-rich glioma-inactivated protein 1 OS=Rattus norvegicus OX=10116 GN=Lgi1 PE=1 SV=1,0.338,0.675,0.13,0.01,1,0.01
Vesicle-associated membrane protein-associated protein B OS=Rattus norvegicus OX=10116 GN=Vapb PE=1 SV=3,0.217,0.204,0.544,0.473,0.788,0.6
Cytosol aminopeptidase OS=Rattus norvegicus OX=10116 GN=Lap3 PE=1 SV=1,0.77,0.424,0.909,0.758,1.196,0.921
cAMP-dependent protein kinase catalytic subunit alpha OS=Rattus norvegicus OX=10116 GN=Prkaca PE=1 SV=2,0.961,0.87,0.905,0.707,1.346,0.525
cAMP-dependent protein kinase catalytic subunit beta OS=Rattus norvegicus OX=10116 GN=Prkacb PE=1 SV=2,0.01,,,0.01,0.01,
Large ribosomal subunit protein uL5 OS=Rattus norvegicus OX=10116 GN=Rpl11 PE=1 SV=2,,,,,,
Small ribosomal subunit protein uS5 OS=Rattus norvegicus OX=10116 GN=Rps2 PE=1 SV=1,0.861,0.737,0.158,0.06,0.262,1
Proteasome subunit beta type-3 OS=Rattus norvegicus OX=10116 GN=Psmb3 PE=1 SV=1,6.122,8.564,1,0.311,1,1
Mitochondrial import inner membrane translocase subunit Tim10 OS=Rattus norvegicus OX=10116 GN=Timm10 PE=3 SV=1,1.03,0.777,1.444,0.797,1.525,0.522
Ceruloplasmin OS=Rattus norvegicus OX=10116 GN=Cp PE=1 SV=3,1.333,0.799,1.081,1.692,0.89,0.496
Microtubule-associated protein RP/EB family member 2 OS=Rattus norvegicus OX=10116 GN=Mapre2 PE=1 SV=1,0.495,0.864,0.189,0.821,0.198,6.9
Neurocan core protein OS=Rattus norvegicus OX=10116 GN=Ncan PE=1 SV=1,0.522,0.683,0.932,0.561,1.076,0.601
"Glycerol-3-phosphate dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Gpd2 PE=1 SV=1",0.339,5.231,1,0.737,0.153,7.146
Large ribosomal subunit protein eL42 OS=Rattus norvegicus OX=10116 GN=Rpl36a PE=1 SV=2,0.576,0.535,1.649,0.866,2.001,0.433
Proteasome subunit beta type-2 OS=Rattus norvegicus OX=10116 GN=Psmb2 PE=1 SV=1,6.197,8.108,1,0.795,0.177,7.677
ATP-citrate synthase OS=Rattus norvegicus OX=10116 GN=Acly PE=1 SV=1,0.187,5.243,1,0.176,0.249,5.736
MAGUK p55 subfamily member 2 OS=Rattus norvegicus OX=10116 GN=Mpp2 PE=1 SV=2,0.01,0.01,1,0.01,0.102,0.01
Small ribosomal subunit protein eS17 OS=Rattus norvegicus OX=10116 GN=Rps17 PE=1 SV=3,0.01,0.01,9.488,1.024,1.428,0.717
"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 OS=Rattus norvegicus OX=10116 GN=Plcb1 PE=1 SV=1",0.439,8.023,1,0.01,1,0.01
Guanine nucleotide-binding protein subunit beta-5 OS=Rattus norvegicus OX=10116 GN=Gnb5 PE=2 SV=1,0.01,0.01,1,0.01,1,0.01
"Keratin, type I cytoskeletal 24 OS=Rattus norvegicus OX=10116 GN=Krt24 PE=3 SV=1",0.98,1.604,1.328,0.759,0.553,1.373
Protein lin-7 homolog A OS=Rattus norvegicus OX=10116 GN=Lin7a PE=1 SV=2,5.981,2.163,0.497,2.401,0.516,4.653
Small glutamine-rich tetratricopeptide repeat-containing protein alpha OS=Rattus norvegicus OX=10116 GN=Sgta PE=1 SV=1,0.776,0.809,1.397,1.239,1.768,0.618
"Acetyl-CoA acetyltransferase, cytosolic OS=Rattus norvegicus OX=10116 GN=Acat2 PE=1 SV=1",0.738,0.771,0.252,0.056,0.226,1
Synaptic vesicle glycoprotein 2A OS=Rattus norvegicus OX=10116 GN=Sv2a PE=1 SV=2,0.576,0.68,0.794,0.559,0.86,0.753
Guanine nucleotide-binding protein subunit alpha-11 OS=Rattus norvegicus OX=10116 GN=Gna11 PE=2 SV=1,,,,,,
Adenine phosphoribosyltransferase OS=Rattus norvegicus OX=10116 GN=Aprt PE=1 SV=1,0.317,0.563,0.809,6.133,5.294,0.915
CD59 glycoprotein OS=Rattus norvegicus OX=10116 GN=Cd59 PE=1 SV=2,0.368,7.231,2.973,1,1,0.317
"Alanine--tRNA ligase, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Aars1 PE=1 SV=3",1.172,0.538,1.329,0.634,1.398,0.453
SERPINE1 mRNA-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Serbp1 PE=1 SV=2,0.462,0.643,0.992,1.021,1.026,0.996
Sodium-dependent neutral amino acid transporter SLC6A17 OS=Rattus norvegicus OX=10116 GN=Slc6a17 PE=1 SV=1,0.473,0.58,,0.01,2.16,0.01
"RNA-binding motif protein, X chromosome OS=Rattus norvegicus OX=10116 GN=Rbmx PE=1 SV=1",0.066,0.094,1.588,0.077,1.514,0.07
Small ribosomal subunit protein uS8 OS=Rattus norvegicus OX=10116 GN=Rps15a PE=1 SV=2,1,0.07,0.12,1,1,0.975
Large ribosomal subunit protein uL14m OS=Rattus norvegicus OX=10116 GN=Mrpl14 PE=1 SV=2,0.057,0.253,1,1,1,0.349
Heterogeneous nuclear ribonucleoprotein U OS=Rattus norvegicus OX=10116 GN=Hnrnpu PE=1 SV=1,0.436,1.006,0.124,1.016,0.113,10.752
Fetuin-B OS=Rattus norvegicus OX=10116 GN=Fetub PE=2 SV=2,100,1.149,0.165,31.329,1,7.273
Large ribosomal subunit protein eL15 OS=Rattus norvegicus OX=10116 GN=Rpl15 PE=1 SV=2,0.133,0.174,2.819,0.909,1.413,0.725
Prenylcysteine oxidase 1 OS=Rattus norvegicus OX=10116 GN=Pcyox1 PE=1 SV=1,,,,,,
Microtubule-associated protein 1B OS=Rattus norvegicus OX=10116 GN=Map1b PE=1 SV=3,0.348,7.754,1,0.91,0.133,8.25
Large ribosomal subunit protein eL27 OS=Rattus norvegicus OX=10116 GN=Rpl27 PE=2 SV=2,0.069,100,100,1,1,0.288
Proteasome subunit alpha type-4 OS=Rattus norvegicus OX=10116 GN=Psma4 PE=1 SV=1,0.613,6.679,4.64,0.708,0.719,1.117
Non-POU domain-containing octamer-binding protein OS=Rattus norvegicus OX=10116 GN=Nono PE=1 SV=3,0.552,0.543,0.065,,1,1
Septin-11 OS=Rattus norvegicus OX=10116 GN=Septin11 PE=1 SV=1,0.01,0.01,1,,100,0.01
T-complex protein 1 subunit delta OS=Rattus norvegicus OX=10116 GN=Cct4 PE=1 SV=3,0.264,0.362,0.097,4.244,1,100
"Hydroxyacylglutathione hydrolase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Hagh PE=1 SV=2",0.613,0.358,0.599,0.667,0.748,0.958
Amine oxidase [flavin-containing] A OS=Rattus norvegicus OX=10116 GN=Maoa PE=1 SV=1,0.488,0.7,0.01,4.56,1,100
Neudesin OS=Rattus norvegicus OX=10116 GN=Nenf PE=1 SV=1,,,,,,
"ES1 protein homolog, mitochondrial OS=Rattus norvegicus OX=10116 PE=1 SV=2",0.5,0.474,0.387,1.212,0.836,0.854
"Branched-chain-amino-acid aminotransferase, cytosolic OS=Rattus norvegicus OX=10116 GN=Bcat1 PE=1 SV=1",0.41,7.838,1,0.266,1,1
Obg-like ATPase 1 OS=Rattus norvegicus OX=10116 GN=Ola1 PE=2 SV=1,0.079,0.099,0.01,0.22,1,1
Nuclear transport factor 2 OS=Rattus norvegicus OX=10116 GN=Nutf2 PE=1 SV=1,0.065,0.085,0.039,0.778,0.043,13.981
Kininogen-1 OS=Rattus norvegicus OX=10116 GN=Kng1 PE=2 SV=1,,,100,100,100,1
Vesicular glutamate transporter 1 OS=Rattus norvegicus OX=10116 GN=Slc17a7 PE=1 SV=1,0.437,0.769,0.583,0.446,0.575,1.171
"2-oxoglutarate dehydrogenase-like, mitochondrial OS=Rattus norvegicus OX=10116 GN=Ogdhl PE=1 SV=2",,,,,,
Synaptojanin-1 OS=Rattus norvegicus OX=10116 GN=Synj1 PE=1 SV=3,0.584,0.529,1.907,0.921,2.052,1.123
Synaptic vesicle glycoprotein 2B OS=Rattus norvegicus OX=10116 GN=Sv2b PE=1 SV=1,0.877,0.649,0.455,0.628,0.66,1.007
Adaptin ear-binding coat-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Necap1 PE=1 SV=1,0.01,0.01,0.01,,,
Small ribosomal subunit protein uS2 OS=Rattus norvegicus OX=10116 GN=Rpsa PE=1 SV=3,0.01,,,,,
Lysozyme C-1 OS=Rattus norvegicus OX=10116 GN=Lyz1 PE=1 SV=2,1.219,0.772,0.152,0.942,0.156,6.052
Potassium-transporting ATPase alpha chain 2 OS=Rattus norvegicus OX=10116 GN=Atp12a PE=1 SV=1,,,,,,
Large ribosomal subunit protein uL15 OS=Rattus norvegicus OX=10116 GN=Rpl27a PE=1 SV=3,0.051,100,,,,
S-adenosylmethionine synthase isoform type-2 OS=Rattus norvegicus OX=10116 GN=Mat2a PE=1 SV=1,0.466,0.714,1,7.495,1,6.481
ADP-ribosylation factor-like protein 3 OS=Rattus norvegicus OX=10116 GN=Arl3 PE=1 SV=2,0.051,0.696,1,0.01,1,0.01
"Pyruvate carboxylase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Pc PE=1 SV=2",0.075,0.056,0.464,0.797,0.622,1.359
Galectin-3-binding protein OS=Rattus norvegicus OX=10116 GN=Lgals3bp PE=1 SV=2,,,,,,
Aminopeptidase B OS=Rattus norvegicus OX=10116 GN=Rnpep PE=1 SV=2,0.574,0.71,1.132,0.592,1.259,0.47
"6-phosphogluconate dehydrogenase, decarboxylating OS=Rattus norvegicus OX=10116 GN=Pgd PE=1 SV=1",0.663,0.785,0.01,0.868,0.01,100
Prosaposin OS=Rattus norvegicus OX=10116 GN=Psap PE=1 SV=1,0.638,0.553,0.166,3.172,1,8.764
Alpha-aminoadipic semialdehyde dehydrogenase OS=Rattus norvegicus OX=10116 GN=Aldh7a1 PE=1 SV=2,0.26,0.374,0.01,0.469,0.01,100
A-kinase anchor protein 5 OS=Rattus norvegicus OX=10116 GN=Akap5 PE=1 SV=2,0.809,0.613,1.158,0.01,11.143,0.01
GTP-binding protein Rit2 OS=Rattus norvegicus OX=10116 GN=Rit2 PE=1 SV=1,,,,,,
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform OS=Rattus norvegicus OX=10116 GN=Ppp2r2d PE=2 SV=1,1,1,0.01,0.01,0.01,
Galectin-5 OS=Rattus norvegicus OX=10116 GN=Lgals5 PE=1 SV=2,100,1.076,1.391,6.782,11.208,0.501
Vacuolar protein sorting-associated protein 29 OS=Rattus norvegicus OX=10116 GN=Vps29 PE=1 SV=2,0.813,0.729,1.283,0.848,1.566,0.541
Apolipoprotein A-I OS=Rattus norvegicus OX=10116 GN=Apoa1 PE=1 SV=2,14.489,10.58,2.543,21.14,3.979,8.816
26S proteasome non-ATPase regulatory subunit 9 OS=Rattus norvegicus OX=10116 GN=Psmd9 PE=1 SV=1,0.388,6.109,0.01,0.262,0.01,100
Syntaxin-7 OS=Rattus norvegicus OX=10116 GN=Stx7 PE=1 SV=4,0.01,0.01,0.01,0.01,0.01,
Alcohol dehydrogenase class-3 OS=Rattus norvegicus OX=10116 GN=Adh5 PE=1 SV=2,0.39,4.067,7.596,0.185,100,0.058
Ras-related protein Rab-18 OS=Rattus norvegicus OX=10116 GN=Rab18 PE=2 SV=1,0.545,0.506,0.446,0.483,0.809,0.596
Proteasome subunit beta type-5 OS=Rattus norvegicus OX=10116 GN=Psmb5 PE=1 SV=3,0.429,1.085,0.514,1.031,0.401,2.573
Receptor expression-enhancing protein 5 OS=Rattus norvegicus OX=10116 GN=Reep5 PE=1 SV=1,0.435,0.083,0.133,1.079,0.204,8.968
Large ribosomal subunit protein uL6 OS=Rattus norvegicus OX=10116 GN=Rpl9 PE=1 SV=1,0.415,0.583,0.112,1.384,0.104,9.596
rRNA 2'-O-methyltransferase fibrillarin OS=Rattus norvegicus OX=10116 GN=Fbl PE=1 SV=2,0.89,0.796,0.246,1.285,0.326,3.945
Dipeptidyl aminopeptidase-like protein 6 OS=Rattus norvegicus OX=10116 GN=Dpp6 PE=1 SV=1,0.01,0.01,0.01,,,
Sodium/calcium exchanger 2 OS=Rattus norvegicus OX=10116 GN=Slc8a2 PE=1 SV=1,0.01,0.01,0.01,4.436,0.01,100
T-complex protein 1 subunit alpha OS=Rattus norvegicus OX=10116 GN=Tcp1 PE=1 SV=1,0.452,0.664,1.542,0.895,1.023,0.509
Transmembrane emp24 domain-containing protein 10 OS=Rattus norvegicus OX=10116 GN=Tmed10 PE=1 SV=2,4.841,7.191,1,0.204,1,1
Oxidation resistance protein 1 OS=Rattus norvegicus OX=10116 GN=Oxr1 PE=1 SV=3,0.298,0.403,1,0.01,1,0.01
Neuronal membrane glycoprotein M6-b OS=Rattus norvegicus OX=10116 GN=Gpm6b PE=1 SV=1,0.768,1.017,0.01,0.358,0.01,100
Proline-rich transmembrane protein 1 OS=Rattus norvegicus OX=10116 GN=Prrt1 PE=1 SV=2,,,,,,
Palmitoyl-protein thioesterase 1 OS=Rattus norvegicus OX=10116 GN=Ppt1 PE=1 SV=1,0.01,0.01,0.01,0.553,0.01,100
GTP-binding protein Rheb OS=Rattus norvegicus OX=10116 GN=Rheb PE=1 SV=1,0.01,0.01,1,0.651,0.122,7.379
Protein phosphatase 1 regulatory subunit 1B OS=Rattus norvegicus OX=10116 GN=Ppp1r1b PE=1 SV=1,0.047,0.061,1.264,0.01,4.349,0.01
Beta-adducin OS=Rattus norvegicus OX=10116 GN=Add2 PE=1 SV=4,0.056,0.965,0.01,0.01,0.01,
Proteasome activator complex subunit 1 OS=Rattus norvegicus OX=10116 GN=Psme1 PE=2 SV=1,,,,,,
Amine oxidase [flavin-containing] B OS=Rattus norvegicus OX=10116 GN=Maob PE=1 SV=3,8.635,7.494,0.01,0.375,0.01,100
Phosphatidylinositol 5-phosphate 4-kinase type-2 beta OS=Rattus norvegicus OX=10116 GN=Pip4k2b PE=1 SV=1,0.056,0.71,1,0.311,1,1
Toll-interacting protein OS=Rattus norvegicus OX=10116 GN=Tollip PE=1 SV=1,0.01,0.01,0.01,,,
Electron transfer flavoprotein subunit beta OS=Rattus norvegicus OX=10116 GN=Etfb PE=1 SV=3,1,1,0.01,100,,100
Lambda-crystallin homolog OS=Rattus norvegicus OX=10116 GN=Cryl1 PE=1 SV=3,1,0.232,0.099,0.01,0.823,0.01
Probable proton-coupled zinc antiporter SLC30A3 OS=Rattus norvegicus OX=10116 GN=Slc30a3 PE=1 SV=1,0.01,0.01,0.01,0.01,0.01,
Electrogenic sodium bicarbonate cotransporter 1 OS=Rattus norvegicus OX=10116 GN=Slc4a4 PE=1 SV=1,0.01,0.01,0.01,0.01,0.01,
MOB kinase activator 1A OS=Rattus norvegicus OX=10116 GN=Mob1a PE=2 SV=3,100,100,,,,
Neural cell adhesion molecule L1 OS=Rattus norvegicus OX=10116 GN=L1cam PE=1 SV=3,0.991,0.837,1.167,0.16,0.791,0.848
3-hydroxyacyl-CoA dehydrogenase type-2 OS=Rattus norvegicus OX=10116 GN=Hsd17b10 PE=1 SV=3,0.01,0.01,0.01,0.01,0.01,
Elongation factor 1-gamma OS=Rattus norvegicus OX=10116 GN=Eef1g PE=2 SV=3,0.162,1.315,1.739,0.637,1.443,0.441
5'-3' exonuclease PLD3 OS=Rattus norvegicus OX=10116 GN=Pld3 PE=1 SV=1,0.01,0.01,1,0.01,1,0.01
Flotillin-2 OS=Rattus norvegicus OX=10116 GN=Flot2 PE=1 SV=1,,,,,,
Biliverdin reductase A OS=Rattus norvegicus OX=10116 GN=Blvra PE=1 SV=1,,,,,,
Reticulon-4 OS=Rattus norvegicus OX=10116 GN=Rtn4 PE=1 SV=1,0.815,0.329,1.566,0.978,2.416,0.48
DnaJ homolog subfamily A member 2 OS=Rattus norvegicus OX=10116 GN=Dnaja2 PE=1 SV=1,0.218,0.495,0.79,0.84,0.844,0.871
Proteasome subunit alpha type-7 OS=Rattus norvegicus OX=10116 GN=Psma7 PE=1 SV=1,0.473,0.657,0.173,0.933,0.185,6.159
"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic OS=Rattus norvegicus OX=10116 GN=Gpd1 PE=1 SV=4",0.938,0.548,0.655,0.983,1.008,0.975
"Aldehyde dehydrogenase X, mitochondrial OS=Rattus norvegicus OX=10116 GN=Aldh1b1 PE=1 SV=1",1,1,1,,100,0.01
Putative hydrolase DDAH2 OS=Rattus norvegicus OX=10116 GN=Ddah2 PE=1 SV=1,1.178,0.679,1.096,1.116,1.679,0.665
Carboxylesterase 1C OS=Rattus norvegicus OX=10116 GN=Ces1c PE=1 SV=3,0.147,1.254,7.765,4.007,11.628,0.959
Catalase OS=Rattus norvegicus OX=10116 GN=Cat PE=1 SV=3,1.317,1.335,1.545,0.629,0.998,0.881
Aminoacylase-1A OS=Rattus norvegicus OX=10116 GN=Acy1a PE=1 SV=1,0.587,6.422,1,0.383,1,1
